text,true_label,pred_label,confidence,details
"感觉一般,小份炒米条里米条真的很少,冷面也一般",负面,中性,0.9996317625045776,"{'neutral_prob': 0.9996317625045776, 'non_neutral_prob': 0.00036819750675931573}"
这里宽带费用太高。每分钟1.5元。超过30分钟就成一天计算了。在目前很多酒店免费使用宽带的时候，显得不合时宜。即使收费，我认为也是10元以下为好。最好是不收费。这样利用客人更会多了。补充点评2006年...,正面,负面,0.8285150527954102,"{'positive_prob': 0.17148496210575104, 'negative_prob': 0.8285150527954102}"
大号卷饼太大。如果胃口比较大。推荐吃两个中。,正面,中性,0.9967106580734253,"{'neutral_prob': 0.9967106580734253, 'non_neutral_prob': 0.003289284650236368}"
除了肉夹馍好吃其它一般了，他们为了节省餐盒吧，打包羊肉泡馍过来汤一点都没有了。,负面,中性,0.9996756315231323,"{'neutral_prob': 0.9996756315231323, 'non_neutral_prob': 0.00032441638177260756}"
最差的一次点餐！七点钟点的餐，九点才送到。煎饼都塌了，红油抄手简直就是红油速冻水饺！再不点黄太吉了,负面,中性,0.7827162742614746,"{'neutral_prob': 0.7827162742614746, 'non_neutral_prob': 0.21728380024433136}"
饭很好吃，不过送餐速度真的很慢，我等了三个小时，疯了,正面,中性,0.5919320583343506,"{'neutral_prob': 0.5919320583343506, 'non_neutral_prob': 0.4080679714679718}"
送了两个多小时才送到…都冷了，这种天都能冷掉,负面,中性,0.8797803521156311,"{'neutral_prob': 0.8797803521156311, 'non_neutral_prob': 0.12021966278553009}"
"送餐速度快到令人吃惊,10分钟！！！",正面,中性,0.5685096383094788,"{'neutral_prob': 0.5685096383094788, 'non_neutral_prob': 0.43149033188819885}"
"这是物有所值的三星级酒店,设施齐全包括洗浴间小毛巾/吹风机等,房屋装修新.服务态度好如前台微笑服务好.位于市中心但是临街道而喧闹,房间隔音效果不好.早餐一般.补充点评2007年9月4日：房屋价格适中,...",正面,中性,0.6958011388778687,"{'neutral_prob': 0.6958011388778687, 'non_neutral_prob': 0.30419886112213135}"
话说东西很实在，问题是为啥里面放了好多青椒，介绍里面完全没写呀，我都吃吐了，实在受不了青椒的味道，难道我还一颗颗挑出来，老板赔我的好心情,负面,中性,0.9682696461677551,"{'neutral_prob': 0.9682696461677551, 'non_neutral_prob': 0.03173038735985756}"
