review,label,neutral_score,source
东西还可以，但是没有在店里吃的好吃,2,0.9,waimai
送货时间挺准的就是对路不太熟悉～还可以吧～,2,0.9,waimai
不错啊。快递很快，奶茶也还行。,2,0.8,waimai
还行，不错，快递也非常的快,2,0.8,waimai
还可以，就是米饭偏硬了点,2,0.9,waimai
口味还可以，肥牛入味还行,2,1.3,waimai
还可以，就是汁少了些,2,0.9,waimai
飞一般的速度,2,0.8,waimai
"猪手好吃啊，包菜一般,没什么可说的",2,0.8,waimai
有点辣还行吧，米饭少,2,1.3,waimai
豆皮还挺好吃的，热干面也还行,2,0.8,waimai
面一般，好闲！快递很快,2,0.8,waimai
"送餐师傅很快,可是菜品一般,感觉都不新鲜",2,0.8,waimai
尝了尝新款，凑合吧,2,0.8,waimai
中规中矩。,2,0.8,waimai
"送得特别快,饼味道一般",2,0.8,waimai
比较远，不过还可以了,2,0.9,waimai
卷饼很实在，京酱肉丝都是瘦肉。南瓜粥一般。,2,0.8,waimai
卷饼不错好吃，粥一般,2,0.8,waimai
还行，中份不算大，够一个女生吃，油太多了,2,0.8,waimai
饼味道一般吧，很少的一碗粥。,2,0.8,waimai
味道还可以，就是有点儿慢,2,0.9,waimai
送餐较慢、需提前一个半小时订餐、卷饼菜少、全是饼、粥也一般、但有优惠价格很实惠、也值了,2,1.2,waimai
还行吧，可以吃,2,1.3,waimai
东西还可以，就是速度慢了些。,2,0.9,waimai
卷饼不错！！饭的话一般般,2,0.8,waimai
味道还是很不错！！速度也还行，包装很不错！,2,0.8,waimai
粥还可以，饼真不好吃，就是肉块，口感不好，不好吃。,2,0.9,waimai
卷饼还行，粥太难喝，皮蛋瘦肉粥太腥了，还得自己下楼取，勉强好评,2,1.3,waimai
味道还可以，就是时间长点，挣钱都不容易，给满分吧,2,0.9,waimai
有点远速度还行,2,0.8,waimai
还行，如果蔬菜拌饭里能多加些辣椒就更好了,2,0.8,waimai
吃了两次了，卷饼可满意，其他的一般,2,0.8,waimai
一般，说实话没有我自己做的好吃好评吧,2,0.8,waimai
还可以就是送餐速度有点慢,2,0.9,waimai
饼有点硬，不过味道还行,2,1.2,waimai
送有很快，东西一般吧,2,0.8,waimai
味道一般。没有想象的好吃。,2,0.8,waimai
太贵了，不是想象的那么好吃，还可以吧，一般。,2,1.3,waimai
东西还可以但是送餐速度太慢了,2,0.9,waimai
味道一般为什么没有酱……,2,0.8,waimai
挺好吃的，京酱肉丝里面全是汁水很不错，肘子也还行，吃了2个和一碗粥，勉强吃饱，感觉有点少，这个中号的有大约5*5*25那么大，大胃的可能2个不太够。,2,1.3,waimai
南瓜粥一般，没有南瓜的香甜味道！,2,0.8,waimai
还行，就是吃不饱，下次订大份,2,1.2,waimai
粥一般，卷饼不错,2,0.8,waimai
还行，就是速度好慢，一个多小时,2,1.2,waimai
盖饭的味道一般,2,0.8,waimai
很快。。卷饼味道一般但是很值。。。,2,0.8,waimai
