text,label
这家酒店住下来不好不坏，没有惊喜也没失望。,1
这本书读起来一般般，没什么特别的感觉。,1
这个苹果味道还行，不算甜也不算酸。,1
外卖送得挺快，但味道也就是一般水平。,1
这件衣服穿上身效果一般，不好不坏吧。,1
这款手机用了一周，各方面都中规中矩。,1
酒店早餐种类不多不少，只能算凑合。,1
这本书的情节平淡，谈不上精彩也不算无聊。,1
香蕉熟度刚好，但也没什么突出的。,1
外卖的包装挺严实，口味就那样吧。,1
这件夹克的版型一般，没有宣传的好看。,1
平板电脑的续航还可以，没想象中强。,1
酒店的前台服务态度说不上好也说不上差。,1
这本书的文笔普通，读完后印象不深。,1
草莓个头不大不小，味道一般般。,1
外卖的份量刚好够吃，但味道平平。,1
这条裤子的面料还行，就是版型普普通通。,1
耳机的音质说不上好，但也挑不出大毛病。,1
酒店的床垫软硬适中，睡着还行吧。,1
这本书的封面设计一般般，不难看也不惊艳。,1
橙子水分还可以，就是不怎么甜。,1
外卖的配送准时，但菜品温度有点温吞。,1
这件毛衣的手感一般，没有想象中柔软。,1
笔记本的性能够用，但也不是多强悍。,1
酒店的毛巾清洁度尚可，没发现污渍。,1
这本书的逻辑结构还行，就是有点啰嗦。,1
葡萄粒挺大，但甜度一般般。,1
外卖的汤面有点坨了，口味凑合。,1
这件风衣的颜色很普通，穿起来没啥亮点。,1
智能手表的功能该有的都有，但也仅此而已。,1
酒店的隔音效果一般，能听到走廊声音。,1
这本书的案例不够新颖，还行吧。,1
西瓜挺大一个，但甜度中等偏下。,1
外卖的辣度说我选了中辣，实际偏淡。,1
这件衬衫的扣子挺结实，其他没感觉。,1
手机的拍照效果普通，不算差也说不上好。,1
酒店的电梯速度慢了点，但也能接受。,1
这本书的结尾有点仓促，整体一般。,1
桃子的果肉偏硬，味道一般。,1
外卖的醋包有点漏了，口味没受影响也不惊艳。,1
这件卫衣的厚度适中，春秋穿还行。,1
音箱的低音效果一般，听听播客够用。,1
酒店的淋浴水压不稳定，但还能洗澡。,1
这本书的排版有点密，看着费劲但能接受。,1
菠萝有点生，酸味偏重但不难吃。,1
外卖的奶茶甜度刚好，但珍珠不够Q弹。,1
这件羽绒服保暖还行，就是有点厚重。,1
显示器的色彩正常，没有偏色但也不鲜艳。,1
酒店的一次性拖鞋有点薄，凑合穿。,1
这本书的案例挺多，但深度不够。,1
车厘子的个头中等，味道不酸不甜。,1
外卖的炸鸡有点油了，但脆度还行。,1
这件牛仔外套的水洗效果普通，不丑不美。,1
充电宝的电量够充两次，中规中矩吧。,1
酒店的房间异味不大，但也不算清新。,1
这本书的翻译还算通顺，就是少了点味道。,1
猕猴桃有点硬，放两天应该刚好。,1
外卖的米饭有点干，菜的味道过得去。,1
这件POLO衫的领子没变形，就这么穿吧。,1
鼠标的握感一般，用久了不累也不舒服。,1
酒店的花洒出水还行，没什么毛病。,1
这本书的插画画风有点粗糙，但能看懂。,1
芒果的纤维挺多，口感一般般。,1
外卖的汤盅密封好，味道没什么惊艳。,1
这条裙子的拉链顺滑，款式很普通。,1
键盘的按键反馈中等，打字没问题。,1
酒店的牙刷毛有点硬，勉强能用。,1
这本书的书名起得一般，内容也平。,1
山竹的果肉白净，但甜度不够。,1
外卖的保温袋保温效果普通，拿到手温温的。,1
这件背心的弹性可以，也不紧绷。,1
路由器的信号穿一堵墙还行，两堵就不行了。,1
酒店的浴巾吸水一般，不算好也不算差。,1
这本书的后记比正文有意思，但也就那样。,1
榴莲的榴莲味不太浓，对新手友好。,1
外卖的免配送费挺好，味道就普通了。,1
这件棉服的充绒量够，但外壳有点硬。,1
一体机的风扇声音不算吵，但能听见。,1
酒店的枕头有股洗涤剂味，还行吧不刺鼻。,1
这本书的赠品书签挺普通，没收藏价值。,1
龙眼的肉挺厚，甜味一般般。,1
外卖的送餐员挺客气，餐食口味无感。,1
这件针织衫没起球，但穿久了可能会。,1
手机的震动反馈力度适中，不够干脆。,1
酒店的烧水壶有水垢，但清理过能接受。,1
这本书的护封有点紧，取下来费劲。,1
石榴的颗粒颜色不够红，味道还行。,1
外卖的炸鸡块大小不均匀，口感有差异。,1
这件西装的肩部垫肩厚度中等，穿起来不别扭。,1
投影仪的亮灯下看不太清，暗环境还行。,1
酒店的毛巾叠整齐，但有点硬。,1
这本书的脚注太多，影响阅读但信息足。,1
荔枝的核大小中等，肉不算厚。,1
外卖的满减算下来便宜了几块，味道没区别。,1
这件蕾丝衫的蕾丝有点扎皮肤，但还能穿。,1
手环的计步准不准不知道，反正有个数。,1
酒店的洗手液香味太淡，洗完没味道。,1
这本书的书签丝带容易勾丝，但能用。,1
蜜瓜的中间甜边上淡，整体可以。,1
外卖的送达时间预计内，但菜有点凉了。,1
这件连体裤上厕所不方便，但样子还行。,1
录音笔的录音质量清晰但不惊艳。,1
酒店的节水马桶冲力一般，要按两次。,1
这本书的出版月份是8月，没什么特别。,1
枇杷的果肉不够细腻，口感一般。,1
外卖的餐盒盖子有点烫手，但能端起来。,1
这件防晒衣的透气性尚可，不闷也不凉快。,1
扫地机器人会漏扫角落，但大部分地方干净。,1
酒店的床头抽纸质量一般，有点薄。,1
这本书的烫金标题有点掉色，但不影响。,1
柠檬片放了两片，酸味刚好到位。,1
外卖的酱汁偏咸，拌饭吃还行。,1
这件睡衣的扣子眼有点紧，扣起来费劲。,1
智能音箱的识别速度中等，说三次能对两次。,1
酒店电视机的频道挺多，但不看。,1
这本书的第二版多了几章，改动不大。,1
无花果的籽咯吱咯吱的，口感特别但不难吃。,1
外卖的塑料袋收费就收了，餐食普通。,1
这件运动裤的束脚有点紧，习惯就好。,1
耳放推大耳勉强够，不够惊艳。,1
酒店拨前台响三声才接，服务反应还行。,1
这本书的作者简介写得很官方，没印象。,1
百香果的籽咬着有点酸，但能接受。,1
外卖的多加香菜加了挺多，口味没提升。,1
这件针织开衫的扣子有点松，缝缝还能穿。,1
电子阅读器的翻页闪屏明显，但能忍。,1
酒店的吹风机风力一般，长发要吹很久。,1
这本书的纸张颜色不刺眼，但也不护眼。,1
桂圆的干湿度刚好的，味道一般。,1
外卖送的小瓶水是杂牌，也能喝。,1
这件半身裙的侧面拉链不卡，但腰围偏大。,1
扩展坞插U盘识别快，但不稳定有时掉。,1
酒店的无纺布拖鞋走两步就破了，凑合穿。,1
这本书的抽象画封面看不太懂，也无所谓。,1
椰子水不甜不淡，喝了解渴。,1
外卖的酸辣粉粉条有点软了，汤味还行。,1
这件马甲的V字领有点深，里面得搭内搭。,1
NAS的安装不难，就是设置有点繁琐。,1
酒店的独立香皂用了一次就发软，能洗。,1
这本书的词汇量不算难，初中生看得懂。,1
杨梅的核小肉厚，但味道偏酸。,1
外卖的包装透气孔让汤洒了点，还好不多。,1
这件泳衣的弹力不错，就是颜色显黑。,1
摄像头的夜视效果能看到轮廓，不够清晰。,1
酒店的立顿红茶包泡出来味淡，将就喝。,1
这本书的书脊纹路摸起来舒服，但易积灰。,1
冬枣的甜度还行，就是有的不脆。,1
外卖的中辣辣度对我来说正好，不重不轻。,1
这件健身服的透气网排汗一般，但还算干爽。,1
移动硬盘的传输速度稳定，不快不慢。,1
酒店的WiFi密码简单，但连接后网速一般。,1
这本书的文末索引挺全，但用不上。,1
哈密瓜的果肉软硬刚好，甜度不足。,1
外卖的免葱真的没放，味道少了点什么。,1
这件吊带裙的肩带调节范围大，穿起来滑肩。,1
机械键盘的RGB灯光不够亮，白天看不出来。,1
酒店的玻璃门推拉有点涩，不影响使用。,1
这本书的封底条形码扫出来是正品，价格一般。,1
雪梨的果肉脆度中等，不惊艳但还行。,1
外卖的独立醋包我全放了，酸了点但能喝。,1
这件冲锋衣的内胆拆了之后外壳很薄，春秋穿。,1
电视棒的系统界面流畅度一般，偶尔卡顿。,1
酒店的床垫不硬不软，睡醒腰不酸。,1
这本书的赠书标签贴位置歪了，无伤大雅。,1
火龙果的黑籽挺多，口感略咯牙但不影响。,1
外卖的白色方形餐垫纸挺大，没用上。,1
这件汉服的直筒袖活动方便，但不够飘逸。,1
